cycle_id,day,start_time,run_mode,fwd_torque_max,fwd_torque_mean,fwd_torque_std,fwd_velocity_max,fwd_duration,settle_torque_mean,settle_torque_std,settle_duration,ret_torque_min,ret_torque_mean,ret_torque_std,ret_velocity_min,ret_duration,total_duration
70,Apr 24,2026-04-24 12:23:18.421,2.0,0.03136,0.02613333333333334,0.003120068375319147,84.806681,6,0.04176573705179283,0.01059807283210403,251,-0.13056,-0.06937081081081081,0.03258549337055668,-502.791405,370,627
71,Apr 24,2026-04-24 12:23:23.407,2.0,0.03072,0.025173333333333336,0.003917441341828447,87.449551,6,0.040432191235059756,0.01033763746604044,251,-0.12864,-0.06866335135135135,0.03265728233566007,-503.178835,370,627
72,Apr 24,2026-04-24 12:23:28.393,2.0,0.032,0.02528,0.003898225237207312,86.727142,6,0.04129657370517928,0.01077958987223289,251,-0.12672,-0.06894183783783783,0.032802686367545596,-503.737926,370,627
73,Apr 24,2026-04-24 12:23:33.379,2.0,0.03328,0.025066666666666668,0.005252940763673873,86.718798,6,0.04348685258964144,0.00995296317958543,251,-0.13056,-0.06935351351351352,0.03322655275856908,-503.233671,370,627
74,Apr 24,2026-04-24 12:23:38.366,2.0,0.032,0.026453333333333332,0.0047664606016064644,87.049007,6,0.04196717131474103,0.00982381333121379,251,-0.12736,-0.06876021621621621,0.03353705305068405,-503.784418,370,627
75,Apr 24,2026-04-24 12:23:43.351,2.0,0.03008,0.025066666666666668,0.003652301557465739,87.194443,6,0.04207681274900398,0.009574338504606825,251,-0.128,-0.06958356756756756,0.033255507035881725,-503.861904,370,627
76,Apr 24,2026-04-24 12:23:48.338,2.0,0.032,0.025066666666666668,0.004762161974005783,87.10742,6,0.03980749003984064,0.00922240131825221,251,-0.12608,-0.06860972972972972,0.03321987142328116,-502.91419,370,627
77,Apr 24,2026-04-24 12:23:53.324,2.0,0.03008,0.02528,0.00310251510874645,87.301731,6,0.03685737051792829,0.009647390914551333,251,-0.12736,-0.06872216216216216,0.03240106866442739,-503.195524,370,627
78,Apr 24,2026-04-24 12:23:58.310,2.0,0.02944,0.02464,0.0031807420517860297,86.932182,6,0.03832605577689242,0.009099859250608026,251,-0.12864,-0.06960259459459459,0.032917443416138996,-503.827333,370,627
79,Apr 24,2026-04-24 12:24:03.296,2.0,0.03072,0.02496,0.0043595229096771585,86.853504,6,0.03860908366533865,0.00894345545955097,251,-0.12736,-0.06871524324324324,0.03241632716306462,-503.643751,370,627
80,Apr 24,2026-04-24 12:24:08.284,2.0,0.02688,0.02464,0.0013271322466129741,86.778402,6,0.037951235059760946,0.009189882070436263,251,-0.12928,-0.06859762162162163,0.03241905777571451,-503.696203,370,627
81,Apr 24,2026-04-24 12:24:13.270,2.0,0.0256,0.022826666666666665,0.0019691487162392454,87.080002,6,0.04185243027888446,0.009028125213471485,251,-0.1312,-0.06912172972972973,0.032874021526257936,-503.76296,370,627
82,Apr 24,2026-04-24 12:24:18.255,2.0,0.0288,0.023466666666666667,0.004800711058444015,86.977482,6,0.038371952191235056,0.009203415223367092,251,-0.1248,-0.06875675675675677,0.032993300170179,-503.714085,370,627
83,Apr 24,2026-04-24 12:24:23.241,2.0,0.0288,0.02464,0.00320639361276809,87.296963,6,0.040424541832669324,0.009011809323839642,251,-0.12672,-0.06825167567567567,0.03240260824428707,-502.773523,370,627
84,Apr 24,2026-04-24 12:24:28.226,2.0,0.02816,0.023680000000000003,0.003775457588160672,87.542534,6,0.039090996015936255,0.009138017301580472,251,-0.1248,-0.06932410810810812,0.03205861069452447,-503.52335,370,627
85,Apr 24,2026-04-24 12:24:33.211,2.0,0.02752,0.02304,0.0031353468707624676,84.967613,6,0.03941737051792829,0.009080491146307403,251,-0.12224,-0.06967005405405406,0.0319046156407511,-503.275394,370,627
86,Apr 24,2026-04-24 12:24:38.197,2.0,0.0288,0.023146666666666666,0.004329668193599443,84.584951,6,0.04111553784860558,0.008905541960462693,251,-0.12288,-0.06817556756756757,0.032513640845111554,-503.160954,370,627
87,Apr 24,2026-04-24 12:24:43.182,2.0,0.032,0.025066666666666668,0.004329668193599444,86.65204,6,0.04007776892430279,0.008927120823781332,251,-0.1248,-0.06863913513513513,0.03254494686936295,-502.445698,370,627
88,Apr 24,2026-04-24 12:24:48.168,2.0,0.03008,0.02613333333333333,0.00434854765026976,87.308884,6,0.04041944223107569,0.009458926349626019,251,-0.128,-0.06922378378378378,0.03227704067522102,-502.583981,370,627
89,Apr 24,2026-04-24 12:24:53.153,2.0,0.032,0.028266666666666666,0.0033724214841366826,87.257624,6,0.04019250996015936,0.008963660037891901,251,-0.1248,-0.06888648648648649,0.032594171442330185,-503.245592,370,627
